N_Event,N_Event_encoder
Balance of,0
Consumer Confidence,1
Economic Sentiment,2
Industrial Production,3
Inflation Rate,4
KOF Leading,5
Producer &,6
Retail Sales,7
Unemployment Rate,8
procure.ch Manufacturing,9
