time,open,high,low,close,volume,gk_volatility,RSI,ATR,MACD_Line,MACD_Signal,MA_5,MA_20,MA_50,MA_200,MA_400,EMA_5,EMA_8,EMA_13,Bollinger_High,Bollinger_Low,Fibonacci_max,Fibonacci_0.382,Fibonacci_0.618,Fibonacci_0.786,Fibonacci_0.886,Fibonacci_low,Pivot,Support1,Resistance1,Support2,Resistance2,Prev_Pivot,Prev_Support1,Prev_Resistance1,Prev_Support2,Prev_Resistance2,%K,%D,SAR,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,return,log_return,lag1_close,lag2_close,rolling_mean_5,rolling_std_5,SMA_10,Volatility,Dollar_Volume,Year,Month,Day,Hour,open_macd_diff,rsi_open_ratio,open_close_ratio_ma5,macd_cross,bullish_candle_freq,previous_open,previous_open2,previous_high,previous_high2,previous_low,previous_low2,previous_bullish_candle_freq,signal,Trading_Signal,Pip_Value,previous_pip_value,previous_volume
2020-05-26,1013.6,1015.9,1013.1,1015.0,4149,0.0025388139453798126,0.0,0.0,1.7321630061386486,1.1174750256041759,1015.1,0.0,0.0,0.0,0.0,1014.2573252722318,1013.542820700717,1012.4608517229774,1020.6021259212904,1004.3978740787096,0.0,0.0,0.0,0.0,0.0,0.0,1014.6666666666666,1013.4333333333333,1016.2333333333332,1011.8666666666667,1017.4666666666666,1013.2333333333332,1011.9666666666665,1014.7666666666664,1010.4333333333333,1016.0333333333332,0.0,0.0,1011.1728358432154,1012.45,0.0,0.0,0.0,1028.2,0.0014800197335964604,0.0014789255838329929,1013.5,1013.8,1015.1,1.5066519173316755,1012.5,4.05106296064521,4211235.0,2020,5,26,0,1011.8678369938614,0.0,0.9998632851504864,1,5.0,1013.2,1016.3,1014.5,1016.6,1011.7,1012.1,5.0,1,Buy,0.009852216748768473,0.009866798223976321,3335.0
2020-05-27,1015.1,1020.4,1012.9,1019.3,6286,0.005005869499438365,0.0,0.0,2.1343584283598602,1.3208517061553129,1015.5600000000001,0.0,0.0,0.0,0.0,1015.9382168481546,1014.8221938783354,1013.4378729054092,1021.6156674566911,1006.004332543309,0.0,0.0,0.0,0.0,0.0,0.0,1017.5333333333333,1014.6666666666666,1022.1666666666666,1010.0333333333333,1025.0333333333333,1014.6666666666666,1013.4333333333333,1016.2333333333332,1011.8666666666667,1017.4666666666666,0.0,0.0,1012.6491821083009,1012.8,0.0,0.0,0.0,1027.5,0.004236453201970303,0.004227504698479255,1015.0,1013.5,1015.5600000000001,2.3479778533877176,1013.8100000000001,3.9028337283455263,6407319.8,2020,5,27,0,1012.9656415716402,0.0,0.9995111665845318,1,6.0,1013.6,1013.2,1015.9,1014.5,1013.1,1011.7,5.0,1,Buy,0.009810654370646522,0.009852216748768473,4149.0
2020-05-28,1019.4,1023.6,1018.8,1023.1,5505,0.005633006394418214,0.0,0.0,2.7282795320560354,1.6023372713354576,1016.9399999999999,0.0,0.0,0.0,0.0,1018.3254778987698,1016.6617063498163,1014.8181767760651,1022.8713002501842,1008.3086997498157,0.0,0.0,0.0,0.0,0.0,0.0,1021.8333333333334,1020.0666666666667,1024.8666666666668,1017.0333333333333,1026.6333333333334,1017.5333333333333,1014.6666666666666,1022.1666666666666,1010.0333333333333,1025.0333333333333,0.0,0.0,1014.0443293288067,1015.4000000000001,0.0,0.0,0.0,1026.7,0.003728048660845751,0.003721116710527249,1019.3,1015.0,1016.9399999999999,4.152469144978629,1015.5899999999999,3.640650125092147,5632165.5,2020,5,28,0,1016.6717204679439,0.0,0.9986107441425867,1,7.0,1015.1,1013.6,1020.4,1015.9,1012.9,1013.1,6.0,1,Buy,0.00977421561919656,0.009810654370646522,6286.0
2020-05-29,1023.2,1027.1,1022.6,1024.6,6304,0.004324372119004822,77.55102040816317,0.0,3.2821689491164534,1.9383036068916568,1019.1,0.0,0.0,0.0,0.0,1020.4169852658466,1018.4257716054127,1016.2155800937701,1025.0682135396817,1009.0917864603182,0.0,0.0,0.0,0.0,0.0,0.0,1024.7666666666667,1022.4333333333334,1026.9333333333334,1020.2666666666668,1029.2666666666664,1021.8333333333334,1020.0666666666667,1024.8666666666668,1017.0333333333333,1026.6333333333334,88.93805309734509,0.0,1015.9554634630454,1019.4,0.0,0.0,0.0,1029.8,0.0014661323428792894,0.0014650586202074392,1023.1,1019.3,1019.1,4.859526725927084,1017.0799999999999,3.994106769840879,6459078.399999999,2020,5,29,0,1019.9178310508836,0.0757926313605973,0.9978442728421987,1,7.0,1019.4,1015.1,1023.6,1020.4,1018.8,1012.9,7.0,1,Buy,0.009759906304899474,0.00977421561919656,5505.0
2020-06-01,1025.9,1026.0,1021.3,1021.9,4730,0.004126059706809944,71.02803738317763,4.607142857142825,3.4633396439743365,2.243310814308193,1020.78,0.0,0.0,0.0,0.0,1020.9113235105644,1019.1978223597654,1017.0276400803745,1026.0749998309325,1009.6450001690674,0.0,0.0,0.0,0.0,0.0,0.0,1023.0666666666666,1020.1333333333332,1024.8333333333333,1018.3666666666666,1027.7666666666667,1024.7666666666667,1022.4333333333334,1026.9333333333334,1020.2666666666668,1029.2666666666664,76.99115044247809,0.0,1018.1843707704363,1019.4,0.0,0.0,0.0,1028.5,-0.0026351747023227734,-0.0026386528869384506,1024.6,1023.1,1020.78,3.769217425408089,1017.8599999999999,4.107499915466262,4833587.0,2020,6,1,0,1022.4366603560258,0.06923485464779962,0.9986863290968522,1,6.0,1023.2,1019.4,1027.1,1023.6,1022.6,1018.8,7.0,-1,Sell,0.009785693316371465,0.009759906304899474,6304.0
2020-06-02,1022.0,1026.5,1020.2,1024.7,5281,0.004852735133206224,78.28746177370027,4.849999999999966,3.7891760613819088,2.5524838637229363,1022.72,0.0,0.0,0.0,0.0,1022.1742156737098,1020.4205285020397,1018.1236914974638,1027.7092171368947,1010.1107828631053,0.0,0.0,0.0,0.0,0.0,0.0,1023.8000000000001,1021.1000000000001,1027.4,1017.5000000000001,1030.1,1023.0666666666666,1020.1333333333332,1024.8333333333333,1018.3666666666666,1027.7666666666667,89.38053097345188,85.10324483775835,1019.9674966163491,1019.4,0.0,0.0,0.0,1029.0,0.0027399941285841667,0.002736247187509005,1021.9,1024.6,1022.72,2.234278407003212,1018.9100000000001,4.399608568447366,5411440.7,2020,6,2,0,1018.2108239386181,0.0766022130858124,0.9984352076584496,1,7.0,1025.9,1023.2,1026.0,1027.1,1021.3,1022.6,6.0,1,Buy,0.009758953840148337,0.009785693316371465,4730.0
2020-06-03,1024.8,1030.9,1024.3,1029.4,6697,0.0058872060797636044,83.01369863013717,5.128571428571401,4.376208285147072,2.9172287480077634,1024.74,0.0,0.0,0.0,0.0,1024.58281044914,1022.4159666126976,1019.7345927121119,1031.0071532999114,1009.2928467000885,0.0,0.0,0.0,0.0,0.0,0.0,1028.2,1025.5,1032.1000000000001,1021.5999999999999,1034.8000000000002,1023.8000000000001,1021.1000000000001,1027.4,1017.5000000000001,1030.1,94.16342412451363,86.84503518014787,1021.3939972930792,1021.3000000000001,0.0,0.0,0.0,1027.2,0.0045867083048698465,0.004576221412982052,1024.7,1021.9,1024.74,2.85008771794867,1020.15,5.42857664995574,6893891.800000001,2020,6,3,0,1020.4237917148529,0.08100478008405267,0.9983655781258755,1,7.0,1022.0,1025.9,1026.5,1026.0,1020.2,1021.3,7.0,1,Buy,0.009714396735962695,0.009758953840148337,5281.0
2020-06-04,1029.5,1038.3,1026.7,1037.0,6970,0.008441334432698832,84.38287153652402,5.592857142857115,5.392530303366016,3.4122890590794137,1027.52,0.0,0.0,0.0,0.0,1028.72187363276,1025.656862920987,1022.2010794675244,1036.9915265696561,1007.4684734303436,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,1029.7,1041.3,1022.4000000000001,1045.6,1028.2,1025.5,1032.1000000000001,1021.5999999999999,1034.8000000000002,95.81993569131846,93.12129692976133,1023.2951978344634,1025.0,0.0,0.0,0.0,1027.3,0.0073829415193316095,0.0073558210108731386,1029.4,1024.7,1027.52,5.947016058495532,1022.2299999999999,7.380763284828136,7227890.0,2020,6,4,0,1024.1074696966339,0.08196490678632737,0.9976423898502592,1,8.0,1024.8,1022.0,1030.9,1026.5,1024.3,1020.2,7.0,1,Buy,0.009643201542912247,0.009714396735962695,6697.0
2020-06-05,1037.1,1039.2,1031.8,1032.5,6500,0.008486228663625962,73.1155778894473,5.507142857142843,5.768366297088846,3.8835045066813008,1029.1,0.0,0.0,0.0,0.0,1029.9812490885067,1027.1775600496564,1023.6723538293068,1038.853078774728,1009.3469212252718,0.0,0.0,0.0,0.0,0.0,0.0,1034.5,1029.8,1037.2,1027.1,1041.9,1034.0,1029.7,1041.3,1022.4000000000001,1045.6,75.63636363636347,88.53990781739851,1026.2961582675707,1026.05,0.0,0.0,0.0,1033.4,-0.00433944069431047,-0.004348883394339467,1037.0,1029.4,1029.1,6.026192827980553,1024.1,7.376539387364057,6711250.0,2020,6,5,0,1031.331633702911,0.07050002689176289,0.998806708389024,1,8.0,1029.5,1024.8,1038.3,1030.9,1026.7,1024.3,8.0,-1,Sell,0.009685230024213076,0.009643201542912247,6970.0
2020-06-08,1033.0,1033.8,1028.0,1028.4,5148,0.005769495438023321,66.21004566210061,5.592857142857132,5.670022801605569,4.240808165666155,1030.4,1018.7149999999999,0.0,0.0,0.0,1029.4541660590046,1027.449213371955,1024.3477318536916,1038.4766683911018,1012.7033316088983,0.0,0.0,0.0,0.0,0.0,0.0,1030.0666666666668,1026.3333333333337,1032.1333333333337,1024.2666666666669,1035.8666666666668,1034.5,1029.8,1037.2,1027.1,1041.9,60.7272727272729,77.39452401831828,1039.2,1026.05,0.0,0.0,0.0,1036.5,-0.003970944309927282,-0.003978849443453327,1032.5,1037.0,1030.4,4.622228899568298,1025.5900000000001,6.443334195550877,5294203.2,2020,6,8,0,1027.3299771983943,0.06409491351607029,0.9989184464670824,1,7.0,1037.1,1029.5,1039.2,1038.3,1031.8,1026.7,8.0,-1,Sell,0.009723842862699337,0.009685230024213076,6500.0
